Mixture	B cells	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD16	Monocytes CD14	DC	pDC	NK	Plasma	P-value	Correlation	RMSE
TCGA-AQ-A54O	0	0.022	0.077	0	0.018	0	0	0.03	0.034	0	0.053	0.38	0	0.388	0.06	0.567	0.877
TCGA-D8-A1XQ	0	0.04	0.067	0	0	0.011	0	0.025	0	0	0.122	0.36	0	0.376	0.05	0.642	0.859
TCGA-EW-A6SD	0	0.021	0.067	0	0	0.003	0	0.03	0	0	0.067	0.412	0	0.401	0.05	0.595	0.871
TCGA-E9-A243	0	0.042	0.069	0	0	0.059	0	0	0	0	0	0.376	0	0.454	0.06	0.56	0.854
TCGA-LL-A5YM	0	0.038	0.076	0	0.027	0	0	0.01	0	0	0.025	0.397	0	0.428	0.06	0.585	0.864
TCGA-C8-A278	0	0.052	0.07	0	0.013	0	0	0.027	0	0	0.127	0.34	0	0.371	0.05	0.619	0.865
TCGA-LL-A8F5	0	0.025	0.112	0	0.039	0	0	0.009	0.114	0.01	0.197	0.232	0	0.262	0.12	0.438	0.918
TCGA-BH-A0B6	0	0.036	0.039	0	0.025	0	0	0.04	0	0	0.043	0.409	0	0.408	0.06	0.567	0.873
TCGA-A2-A0CR	0	0.052	0.057	0	0.053	0.032	0	0	0.006	0	0.04	0.357	0	0.402	0.06	0.551	0.858
TCGA-LL-A6FQ	0	0.041	0.071	0	0.026	0	0	0.014	0.014	0	0.042	0.384	0	0.408	0.05	0.599	0.864
TCGA-AC-A5XS	0	0.02	0.07	0	0.01	0	0	0.037	0.069	0	0.078	0.358	0	0.357	0.06	0.585	0.88
TCGA-E2-A1LL	0	0.065	0.114	0	0.041	0	0	0.007	0.082	0	0.163	0.237	0.003	0.29	0.1	0.489	0.899
TCGA-AC-A2QJ	0	0.021	0.07	0	0	0.037	0	0.005	0.003	0	0.025	0.423	0	0.418	0.09	0.514	0.882
TCGA-E2-A1LA	0	0.019	0.053	0	0.023	0	0	0.028	0.037	0	0.142	0.345	0	0.353	0.06	0.558	0.887
TCGA-LL-A6FP	0	0.049	0.064	0	0.008	0	0	0.015	0	0	0	0.426	0	0.438	0.05	0.6	0.861
TCGA-PL-A8LY	0	0.049	0.113	0	0.041	0	0	0.009	0.103	0	0.164	0.242	0.001	0.278	0.11	0.453	0.911
TCGA-BH-A1EN	0	0.063	0.11	0	0.028	0	0	0.006	0.102	0	0.169	0.252	0	0.268	0.11	0.455	0.914
TCGA-BH-A6R8	0	0.04	0.056	0	0.01	0	0	0.033	0	0	0.026	0.42	0	0.416	0.06	0.589	0.867
TCGA-D8-A1JS	0	0.07	0.053	0	0.027	0	0	0.012	0	0	0	0.395	0	0.442	0.07	0.527	0.879
TCGA-B6-A1KI	0	0.037	0.075	0	0.009	0	0	0.009	0.002	0	0.025	0.407	0	0.435	0.05	0.599	0.863
TCGA-E9-A54X	0	0.059	0.067	0	0.026	0	0	0.012	0	0	0.008	0.407	0	0.421	0.06	0.585	0.864
TCGA-D8-A1XL	0	0.038	0.065	0	0.008	0.007	0	0.04	0	0	0.031	0.405	0	0.406	0.05	0.601	0.863
TCGA-AR-A5QM	0	0.016	0.072	0	0.015	0	0	0.031	0.094	0.005	0.102	0.331	0	0.334	0.09	0.494	0.905
TCGA-E9-A3QA	0	0.004	0.086	0	0.073	0.004	0	0	0.077	0	0.192	0.274	0	0.29	0.08	0.518	0.887
TCGA-BH-A0DH	0	0.045	0.053	0	0.026	0	0	0.024	0	0	0.031	0.404	0	0.417	0.09	0.495	0.892
TCGA-B6-A40B	0	0.027	0.081	0	0.018	0	0	0.018	0.107	0.016	0.112	0.312	0	0.308	0.06	0.562	0.892
TCGA-EW-A1P7	0	0.055	0.078	0	0.061	0	0	0.009	0.125	0.036	0.196	0.22	0	0.221	0.1	0.484	0.905
TCGA-A7-A3IY	0	0.047	0.04	0	0	0	0	0.032	0.101	0.003	0.09	0.356	0	0.331	0.06	0.545	0.897
TCGA-GM-A2DO	0	0.059	0	0	0.137	0	0	0.041	0.016	0	0.059	0.308	0	0.379	0.05	0.595	0.829
TCGA-OL-A66N	0	0.028	0.07	0	0.049	0	0	0.028	0.122	0.035	0.138	0.264	0.002	0.262	0.1	0.484	0.906
TCGA-LL-A7T0	0	0.031	0.05	0	0.017	0	0	0.045	0.019	0	0.069	0.391	0	0.377	0.05	0.627	0.863
TCGA-A7-A6VW	0	0.04	0.1	0	0.032	0	0	0.014	0.114	0.006	0.2	0.239	0	0.253	0.11	0.464	0.914
TCGA-AO-A129	0	0.048	0.108	0	0.038	0	0	0.007	0.089	0	0.219	0.236	0	0.255	0.11	0.461	0.912
TCGA-A2-A3XZ	0	0.05	0.075	0	0	0.051	0	0	0	0	0	0.37	0	0.454	0.07	0.523	0.869
TCGA-BH-A1FC	0	0.045	0.081	0	0	0.011	0	0.018	0.029	0	0.157	0.326	0	0.334	0.05	0.61	0.875
TCGA-AR-A2LH	0	0.054	0.083	0	0.057	0	0	0.019	0.123	0.026	0.175	0.23	0.002	0.231	0.13	0.41	0.921
TCGA-GM-A3XL	0	0.039	0.116	0	0.051	0	0	0.009	0.076	0	0.216	0.231	0.003	0.259	0.14	0.396	0.924
TCGA-BH-A42T	0	0.022	0.046	0	0	0.028	0	0.044	0.07	0	0.061	0.384	0	0.344	0.05	0.603	0.87
TCGA-S3-AA15	0	0.039	0.052	0	0.024	0	0	0.036	0.05	0	0.103	0.354	0	0.341	0.05	0.621	0.869
TCGA-E2-A1IF	0	0.018	0.07	0	0.033	0	0	0.03	0.109	0.022	0.117	0.298	0	0.304	0.08	0.52	0.899
TCGA-BH-A0C0	0	0.04	0.079	0	0	0.058	0	0	0	0	0.021	0.37	0	0.432	0.11	0.452	0.893
TCGA-E2-A1IK	0	0.069	0.023	0	0.016	0	0	0.043	0	0	0.051	0.406	0	0.392	0.09	0.499	0.895
TCGA-EW-A1PB	0	0.03	0.103	0	0.011	0.021	0	0.007	0.058	0	0.204	0.324	0	0.242	0.21	0.282	0.954
TCGA-B6-A0WZ	0	0.041	0.075	0	0.029	0	0	0.01	0	0	0.024	0.394	0	0.426	0.1	0.472	0.897
TCGA-E9-A1RG	0	0.03	0.065	0	0.003	0	0	0.018	0	0	0.033	0.413	0	0.438	0.06	0.566	0.874
TCGA-BH-A42U	0	0.015	0.092	0	0.041	0	0	0.02	0.15	0.061	0.18	0.225	0	0.218	0.08	0.517	0.906
TCGA-A2-A3XS	0	0.046	0.058	0	0.045	0	0	0.039	0.084	0	0.101	0.32	0	0.306	0.07	0.526	0.891
TCGA-A2-A3XV	0	0.03	0.068	0	0	0.003	0	0.017	0	0	0	0.442	0	0.44	0.05	0.625	0.855
TCGA-OL-A66I	0	0.038	0.085	0	0	0.067	0	0	0	0	0.019	0.364	0	0.428	0.1	0.489	0.878
TCGA-E2-A1B4	0	0.036	0.071	0	0.023	0	0	0.017	0.021	0	0.048	0.381	0	0.404	0.06	0.57	0.873
TCGA-LL-A73Z	0	0.028	0.09	0	0.048	0	0	0.017	0.128	0.035	0.196	0.223	0	0.234	0.11	0.453	0.916
TCGA-C8-A1HG	0	0.039	0.065	0	0.035	0	0	0.025	0	0	0.098	0.364	0	0.373	0.09	0.493	0.895
TCGA-AC-A6IW	0	0.04	0.048	0	0.017	0	0	0.044	0	0	0.109	0.371	0	0.371	0.06	0.589	0.874
TCGA-B6-A408	0	0.016	0.078	0	0.024	0	0	0.038	0.054	0	0.086	0.358	0	0.345	0.1	0.491	0.901
TCGA-A7-A4SD	0	0.043	0.071	0	0.019	0	0	0.023	0.006	0	0.139	0.338	0	0.361	0.06	0.551	0.885
TCGA-EW-A1P4	0	0.049	0.113	0	0.037	0	0	0.008	0.077	0	0.223	0.23	0.003	0.259	0.13	0.414	0.922
TCGA-LL-A7SZ	0	0.003	0.076	0	0.002	0.007	0	0.048	0	0	0.032	0.422	0	0.409	0.02	0.7	0.835
TCGA-OL-A5RW	0	0.03	0.078	0	0.01	0	0	0.021	0.058	0	0.17	0.31	0	0.324	0.06	0.579	0.887
TCGA-BH-A8FY	0	0.043	0.06	0	0.003	0	0	0.018	0	0	0.025	0.418	0	0.433	0.02	0.663	0.845
TCGA-AC-A3TN	0	0.032	0.067	0	0.026	0	0	0.019	0.005	0	0.034	0.394	0	0.422	0.07	0.53	0.882
TCGA-BH-A0AW	0	0.044	0.079	0	0	0.049	0	0	0	0	0.025	0.358	0	0.445	0.06	0.544	0.864
TCGA-LL-A5YO	0	0.054	0.077	0	0	0.04	0	0	0	0	0.028	0.345	0	0.456	0.05	0.594	0.849
TCGA-GM-A5PX	0	0.011	0.084	0	0.035	0	0	0.021	0.141	0.052	0.16	0.248	0	0.249	0.08	0.521	0.905
TCGA-E2-A573	0	0.044	0.053	0	0.034	0	0	0.039	0.008	0	0.118	0.351	0	0.353	0.07	0.533	0.887
TCGA-LL-A5YN	0	0.052	0.072	0	0	0.052	0	0	0	0	0	0.366	0	0.458	0.07	0.535	0.864
TCGA-GM-A3XG	0	0.032	0.094	0	0.043	0	0	0.016	0.129	0.033	0.172	0.231	0.001	0.25	0.1	0.475	0.91
TCGA-BH-A0B3	0	0.029	0.082	0	0.006	0	0	0.022	0.024	0	0.151	0.33	0	0.356	0.05	0.594	0.878
TCGA-OL-A5S0	0	0.021	0.04	0	0.034	0	0	0.027	0.087	0	0.128	0.337	0	0.326	0.05	0.605	0.878
TCGA-E2-A576	0	0.018	0.084	0	0.009	0	0	0.004	0	0	0.021	0.425	0	0.439	0.02	0.677	0.84
TCGA-GM-A2D9	0	0.031	0.065	0	0.03	0	0	0.029	0.083	0	0.084	0.337	0	0.342	0.12	0.447	0.913
TCGA-GM-A5PV	0	0.042	0.085	0	0.043	0	0	0.019	0.126	0.025	0.168	0.243	0	0.249	0.12	0.431	0.92
TCGA-LL-A6FR	0	0.034	0.074	0	0	0	0	0.012	0.009	0	0.031	0.416	0	0.424	0.02	0.672	0.845
TCGA-AR-A1AQ	0	0.048	0.064	0	0.008	0	0	0.027	0	0	0.117	0.354	0	0.381	0.06	0.576	0.877
TCGA-D8-A1Y3	0	0.042	0.059	0	0.006	0	0	0.029	0	0.03	0.029	0.419	0	0.417	0.05	0.633	0.856
TCGA-C8-A8HP	0	0.004	0.072	0	0.012	0	0	0.033	0.045	0	0.096	0.372	0	0.366	0.05	0.613	0.872
TCGA-B6-A3ZX	0	0.053	0.084	0	0	0.045	0	0	0	0	0.02	0.354	0	0.445	0.06	0.567	0.857
TCGA-A2-A3XX	0	0.037	0.055	0	0.018	0	0	0.028	0.042	0	0.082	0.368	0	0.37	0.05	0.609	0.87
TCGA-D8-A73W	0	0.031	0.067	0	0	0.003	0	0.009	0.009	0.016	0.042	0.408	0	0.431	0.07	0.532	0.885
TCGA-BH-A0B9	0	0.043	0.064	0	0	0.058	0	0	0	0	0	0.38	0	0.454	0.06	0.584	0.847
TCGA-A2-A0ST	0	0.044	0.067	0	0	0.051	0	0	0	0	0.029	0.344	0	0.465	0.06	0.591	0.846
TCGA-JL-A3YX	0	0.038	0.077	0	0.027	0	0	0.014	0.025	0	0.044	0.378	0	0.396	0.06	0.592	0.867
TCGA-AO-A1KR	0	0.036	0.051	0	0.021	0	0	0.036	0	0	0.062	0.374	0	0.419	0.06	0.588	0.866
TCGA-AR-A1AO	0	0.038	0.106	0	0.032	0	0	0.009	0.128	0.031	0.183	0.232	0	0.242	0.12	0.442	0.921
TCGA-EW-A2FW	0	0.036	0.073	0	0.024	0	0	0.014	0.002	0	0.029	0.396	0	0.425	0.05	0.606	0.859
TCGA-E2-A56Z	0	0.03	0.068	0	0.022	0	0	0.019	0.003	0	0.039	0.397	0	0.423	0.04	0.649	0.848
TCGA-B6-A0I1	0	0.074	0.051	0	0.019	0	0	0.025	0	0	0.091	0.327	0	0.414	0.06	0.55	0.877
TCGA-OL-A5RY	0	0.037	0.095	0	0.051	0	0	0.017	0.117	0.025	0.223	0.217	0.001	0.217	0.1	0.468	0.911
TCGA-GM-A2DN	0	0.036	0.09	0	0.024	0	0	0.019	0.027	0	0.137	0.328	0	0.339	0.06	0.586	0.877
TCGA-AR-A2LJ	0	0.021	0.076	0	0.034	0	0	0.035	0.082	0	0.104	0.331	0	0.318	0.07	0.536	0.891
TCGA-GM-A2DF	0	0.045	0.086	0	0.03	0	0	0.023	0.107	0.004	0.15	0.274	0	0.281	0.07	0.534	0.896
TCGA-E2-A1B6	0	0.081	0.018	0	0.084	0	0	0.003	0	0.011	0.019	0.311	0.003	0.47	0.06	0.593	0.841
TCGA-AO-A1KO	0	0.048	0.108	0	0.046	0	0	0.003	0.093	0	0.166	0.236	0.002	0.296	0.1	0.48	0.902
TCGA-BH-A1F6	0	0.053	0.091	0	0.037	0	0	0.002	0.095	0	0.225	0.229	0.001	0.267	0.09	0.512	0.901
TCGA-V7-A7HQ	0	0.013	0.091	0	0.028	0	0	0	0	0.021	0.023	0.4	0	0.445	0.05	0.615	0.854
TCGA-BH-A8FZ	0	0.033	0.053	0	0.011	0	0	0.039	0.087	0	0.092	0.349	0	0.336	0.1	0.49	0.906
TCGA-A2-A0SW	0	0.041	0.051	0	0.012	0.003	0	0.034	0.003	0	0.06	0.402	0	0.393	0.05	0.631	0.859
TCGA-A2-A25D	0	0.04	0.074	0	0	0.06	0	0	0	0	0.007	0.371	0	0.448	0.06	0.541	0.861
TCGA-A2-A3Y0	0	0.031	0.098	0	0.047	0	0	0.016	0.108	0.005	0.185	0.247	0.002	0.263	0.13	0.408	0.923
TCGA-OL-A66P	0	0.039	0.061	0	0	0.071	0	0	0	0	0	0.379	0	0.45	0.06	0.549	0.855
TCGA-C8-A1HE	0	0.047	0.057	0	0.025	0	0	0.017	0	0	0.02	0.405	0	0.429	0.06	0.548	0.875
TCGA-BH-A5IZ	0	0.046	0.07	0	0.01	0	0	0.019	0	0	0.102	0.361	0	0.392	0.05	0.598	0.87
